movie_id,title,genres,year,tmdb_id,imdb_id,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,body,sentiment_score,weighted_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,862,tt0114709,7.7,5415,8.3,956821,led woody andys toy live happily room andys birthday brings buzz lightyear onto scene afraid losing place andys heart woody plot buzz circumstance separate buzz woody owner duo eventually learns put aside difference jealousy toy boy friendship friend rivalry boy next door new toy toy come life  JohnLasseter TomHanks TimAllen DonRickles JimVarney  adventure animation children comedy fantasy,0.8625,1.6095697229875257
2,Jumanji (1995),Adventure|Children|Fantasy,1995,8844,tt0113497,6.9,2413,7.0,334566,sibling judy peter discover enchanted board game open door magical world unwittingly invite alan adult trapped inside game 26 year living room alans hope freedom finish game prof risky three find running giant rhinoceros evil monkey terrifying creature roll dice unleash excitement board game disappearance based childrens book new home recluse giant insect  JoeJohnston RobinWilliams JonathanHyde KirstenDunst BradleyPierce  adventure children fantasy,0.3612,0.6167034048665544
3,Grumpier Old Men (1995),Comedy|Romance,1995,15602,tt0113228,6.5,92,6.6,26930,family wedding reignites ancient feud nextdoor neighbor fishing buddy john max meanwhile sultry italian divorce open restaurant local bait shop alarming local worry shell scare fish away le interested seafood cooking hot time max still yelling still fighting still ready love fishing best friend duringcreditsstinger old men  HowardDeutch WalterMatthau JackLemmon Ann-Margret SophiaLoren  comedy romance,0.9081,0.11153458567527064
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,31357,tt0114885,6.1,34,5.9,10784,cheated mistreated stepped woman holding breath waiting elusive good man break string lessthanstellar lover friend confidant vannah bernie glo robin talk determined find better way breathe friend people let never let forget based novel interracial relationship single mother divorce chick flick  ForestWhitaker WhitneyHouston AngelaBassett LorettaDevine LelaRochon  comedy drama romance,0.9725,-0.32757131389603755
5,Father of the Bride Part II (1995),Comedy,1995,11862,tt0113041,5.7,173,6.0,37433,george bank recovered daughter wedding receives news pregnant george wife nina expecting planning selling home thats plan like george change arrival grandchild kid world back normal surprise life baby midlife crisis confidence aging daughter mother daughter relationship pregnancy contraception gynecologist  CharlesShyer SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley  comedy,0.6486,-0.8446472783889288
6,Heat (1995),Action|Crime|Thriller,1995,949,tt0113277,7.7,1886,8.3,629433,obsessive master thief neil mccauley lead topnotch crew various insane heist throughout los angeles mentally unstable detective vincent hanna pursues without rest man recognizes respect ability dedication even though aware catandmouse game may end violence los angeles crime saga robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang cat mouse criminal mastermind cult film excon heist movie one last job loner bank job neonoir gun fight crime epic  MichaelMann AlPacino RobertDeNiro ValKilmer JonVoight  action crime thriller,-0.9906,1.606251591955514
7,Sabrina (1995),Comedy|Romance,1995,11860,tt0114319,6.2,141,6.3,40493,ugly duckling undergone remarkable change still harbor feeling crush carefree playboy businessfocused brother something say cordially invited surprising merger year paris brother brother relationship chauffeur long island fusion millionaire  SydneyPollack HarrisonFord JuliaOrmond GregKinnear AngieDickinson  comedy romance,0.8779,-0.2427197274012363
8,Tom and Huck (1995),Adventure|Children,1995,45325,tt0112302,5.4,45,5.5,10734,mischievous young boy tom sawyer witness murder deadly injun joe tom becomes friend huckleberry finn boy future family tom choose honoring friendship honoring oath town alcoholic accused murder tom huck go several adventure trying retrieve evidence original bad boy  PeterHewitt JonathanTaylorThomas BradRenfro RachaelLeighCook MichaelMcShane  adventure children,0.3612,-1.107486757051071
9,Sudden Death (1995),Action,1995,9091,tt0114576,5.5,174,5.8,34160,international action superstar jean claude van damme team power boothe tensionpacked suspense thriller set backdrop stanley cup gamevan damme portrays father whose daughter suddenly taken championship hockey game captor demanding billion dollar game end van damme frantically set plan motion rescue daughter abort impending explosion final buzzer terror go overtime terrorist hostage explosive vice president  PeterHyams Jean-ClaudeVanDamme PowersBoothe DorianHarewood RaymondJ.Barry  action,-0.7003,-1.0850468247924103
10,GoldenEye (1995),Action|Adventure|Thriller,1995,710,tt0113189,6.6,1194,7.2,252911,james bond must unmask mysterious head janus syndicate prevent leader utilizing goldeneye weapon system inflict devastating revenge britain limit fear substitute cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st petersburg russia ejection seat red army  MartinCampbell PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen  action adventure thriller,-0.872,0.24448274632672254
11,"American President, The (1995)",Comedy|Drama|Romance,1995,9087,tt0112346,6.5,199,6.8,56637,widowed u president andrew shepherd one world powerful men anything want covets sydney ellen wade washington lobbyist shepherd attempt courting spark wild rumor decimate approval rating cant powerful man world one thing want white house usa president new love widower wildlife conservation  RobReiner MichaelDouglas AnnetteBening MichaelJ.Fox MartinSheen  comedy drama romance,0.9545,0.11689194467327242
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,12110,tt0112896,5.7,210,5.8,41275,lawyer show vampire doorstep fall prey charm join search fresh blood enter dr van helsing may one able vanquish count dracula spoof  MelBrooks LeslieNielsen MelBrooks AmyYasbeck PeterMacNicol  comedy horror,0.6124,-0.8492086556490778
13,Balto (1995),Adventure|Animation|Children,1995,21032,tt0112453,7.1,423,7.1,42865,outcast halfwolf risk life prevent deadly epidemic ravaging nome alaska part dog part wolf hero wolf dogsledding race alaska dog goose bear attack dog sled frozen lake  SimonWells KevinBacon BobHoskins BridgetFonda JimCummings  adventure animation children,0.2023,0.8541558595677983
14,Nixon (1995),Drama,1995,10858,tt0113987,7.1,72,7.1,30588,allstar cast power epic look american president richard nixon man carrying fate world shoulder battling selfdestructive demand within spanning troubled boyhood california shocking watergate scandal would end presidency triumphant victory bitter defeat changed world lost nation usa president presidential election watergate scandal biography government historical figure  OliverStone AnthonyHopkins JoanAllen PowersBoothe EdHarris  drama,-0.9501,0.7981550418501403
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,1408,tt0112760,5.7,137,5.7,27843,morgan adam slave william shaw quest recover three portion treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership ability must complete quest mutiny made yet difficult effort british crown end pirate raid course set turning back prepare weapon summon courage discover adventure lifetime exotic island treasure map ship scalp pirate  RennyHarlin GeenaDavis MatthewModine FrankLangella MauryChaykin  action adventure romance,0.5423,-0.837940406623721
16,Casino (1995),Crime|Drama,1995,524,tt0112641,7.8,1343,8.2,502778,life gambling paradise la vega dark mafia underbelly one stay top forever poker drug abuse 1970s overdose illegal prostitution  MartinScorsese RobertDeNiro SharonStone JoePesci JamesWoods  crime drama,-0.743,1.727795896221297
17,Sense and Sensibility (1995),Drama|Romance,1995,4584,tt0114388,7.2,364,7.7,112925,rich mr dashwood dy leaving second wife daughter poor rule inheritance two daughter titular opposite lose heart come sen bowling based novel servant country life jane austen inheritance military officer period drama rainstorm horse carriage decorum  AngLee KateWinslet EmmaThompson HughGrant TomWilkinson  drama romance,0.5719,0.9743585744726825
18,Four Rooms (1995),Comedy,1995,5,tt0113101,6.5,539,6.7,103451,ted bellhop first night joband hotel unusual guest place outrageous predicament seems evening room service serving one unbelievable happening another twelve outrageous guest four scandalous request one lone bellhop first day job wildest new year eve life hotel new year eve witch bet hotel room sperm los angeles hoodlum woman director episode film  AllisonAnders TimRoth AntonioBanderas JenniferBeals Madonna  comedy,-0.8658,0.119947904528242
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,9273,tt0112281,6.1,1128,6.4,213228,summoned ashram tibet ace find perilous journey jungle africa find shikaka missing sacred animal friendly wachati tribe must accomplish wedding wachatis princess prince warrior wachootoos ace fails result vicious tribal war new animal new adventure hair africa indigenous human animal relationship bat  SteveOedekerk JimCarrey IanMcNeice SimonCallow MaynardEziashi  comedy,-0.1531,-0.37307580116785705
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,11517,tt0113845,5.4,224,5.7,40728,vengeful new york transit cop decides steal trainload subway fare foster brother fellow cop try protect get get way brother brother relationship subway new york city new york subway train robbery  JosephRuben WesleySnipes WoodyHarrelson JenniferLopez RobertBlake  action comedy crime drama thriller,-0.296,-1.213542620310071
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,8012,tt0113161,6.4,305,6.9,82713,chili palmer miami mobster get sent bos psychopathic bone barboni collect bad debt harry zimm hollywood producer specializes cheesy horror film chili meet harrys leading lady romantic spark fly pitching life story movie idea chili learns mobster hollywood producer really different mob tough nothing like show business gambling miami based novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con  BarrySonnenfeld JohnTravolta GeneHackman ReneRusso DannyDeVito  comedy crime thriller,-0.9722,-0.003251530913035085
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,1710,tt0112722,6.5,199,6.6,58341,agoraphobic psychologist female detective must work together take serial killer copy serial killer past one man copying notorious killer history one time together two woman must stop killing theyre next police brutality psychology police operation police protection serial killer psychologist cowardliness  JonAmiel SigourneyWeaver HollyHunter WillPatton WilliamMcNamara  crime drama horror mystery thriller,-0.9902,0.11689194467327242
23,Assassins (1995),Action|Crime|Thriller,1995,9691,tt0112401,6.0,394,6.3,82017,assassin robert rath arrives funeral kill prominent mobster witness rival hired gun complete job grisly result horrified murder innocent bystander rath decides take one last job return civilian life finding way world contract killing grows ever dangerous rath fall female target becomes marked man shadow life business death one man found reason live competition assassination cia bank cat mexican standoff seattle hitman mission murder hidden camera rivalry rescue shootout police chase sniper rifle silencer double cross caribbean detroit michigan  RichardDonner SylvesterStallone AntonioBanderas JulianneMoore AnatoliDavydov  action crime thriller,-0.9881,-0.49236570252441997
24,Powder (1995),Drama|Sci-Fi,1995,12665,tt0114168,6.3,143,6.6,30052,harassed classmate accept shocking appearance shy young man known powder struggle fit cruel taunt stop powder display mysterious power allows incredible thing phenomenon change life around way never could imagined extraordinary encounter another human dead animal shot death teenage boy held gunpoint teacher student relationship albino fainting jacob ladder christ allegory psionic power healing power looking pale flickering light extrasensory perception  VictorSalva MarySteenburgen SeanPatrickFlanery LanceHenriksen JeffGoldblum  drama sci-fi,-0.9618,-0.12353407794696677
25,Leaving Las Vegas (1995),Drama|Romance,1995,451,tt0113627,7.1,365,7.5,121697,ben sanderson alcoholic hollywood screenwriter lost everything drinking arrives la vega drink death meet form uneasy friendship noninterference pact prostitute serum love way individual prostitute alcohol casino love first sight lovesickness film producer screenwriter hotel room dying death rage hate unsociability alcoholism los angeles alcohol abuse attempted suicide  MikeFiggis NicolasCage ElisabethShue JulianSands RichardLewis  drama romance,-0.93,0.8522142803391726
26,Othello (1995),Drama,1995,16420,tt0114057,7.0,33,6.9,9597,evil iago pretend friend othello order manipulate serve end film version shakespeare classic envy greed jealousy love shakespeare jealousy friend moor  OliverParker LaurenceFishburne IrèneJacob KennethBranagh NathanielParker  drama,-0.3818,0.6238143890457125
27,Now and Then (1995),Children|Drama,1995,9263,tt0114011,6.6,91,6.8,29333,waxing nostalgic bittersweet passage childhood puberty tender comingofage tale four childhood girlfriend teeny chrissy samantha roberta recall magical summer 1970 walk memory lane reconcile experience boy secret bully every woman girl left behind 1970s female friendship coming age gynecologist photocopier truth dare woman director  LesliLinkaGlatter ChristinaRicci RosieO'Donnell ThoraBirch MelanieGriffith  children drama,0.1779,0.22812109891293397
28,Persuasion (1995),Drama|Romance,1995,17015,tt0114117,7.4,36,7.6,10531,film adaptation jane austen last novel follows anne elliot daughter financially troubled aristocratic family persuaded break engagement frederick wentworth young sea captain meager mean year later money trouble force anne father rent family estate admiral croft anne thrown company frederick rich successful perhaps still love anne captain napoleonic war old flame admiral  RogerMichell AmandaRoot CiaránHinds SusanFleetwood FionaShaw  drama romance,0.9382,1.0599529139564887
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,902,tt0112682,7.6,308,7.5,67842,scientist surrealist society kidnaps child steal dream hoping slow aging process happily ever dream clone dream island eye dystopia aging friendship rescue child girl childhood  Jean-PierreJeunet RonPerlman DominiquePinon JudithVittet DanielEmilfork  adventure drama fantasy mystery sci-fi,0.9403,1.4587852837376007
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,37557,tt0115012,6.5,17,7.1,5595,provincial boy related shanghai crime family recruited uncle cosmopolitan shanghai 1930s servant ganglords mistress 1930s shanghai violence problem solution servant cabaret shanghai diva uncle mistress umbrella  ZhangYimou GongLi LiBao-Tian  crime drama,-0.91,0.07780404205774757
31,Dangerous Minds (1995),Drama,1995,9909,tt0112792,6.4,249,6.5,51996,former marine louanne johnson land gig teaching pilot program bright underachieving teen notorious innercity high school terrible first day decides must throw decorum wind johnson return classroom armed nononsense attitude informed military training fearless determination better life student matter cost broke rule changed life rap music karate high school naval officer teacher amusement park  JohnN.Smith MichellePfeiffer GeorgeDzundza CourtneyB.Vance RobinBartlett  drama,0.6369,-0.003451578736981848
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,63,tt0114746,7.4,2470,8.0,606167,year 2035 convict james cole reluctantly volunteer sent back time discover origin deadly virus wiped nearly earth population forced survivor underground community cole mistakenly sent 1990 instead 1996 arrested locked mental hospital meet psychiatrist dr kathryn railly patient jeffrey goines son famous virus expert may hold key mysterious rogue group army 12 monkey thought responsible unleashing killer disease future history schizophrenia philadelphia cassandra syndrom stockholm syndrome time travel postapocalyptic dystopia lethal virus monkey subterranean  TerryGilliam BruceWillis MadeleineStowe BradPitt ChristopherPlummer  mystery sci-fi thriller,-0.8316,1.2359363001128336
34,Babe (1995),Children|Drama,1995,9598,tt0112431,6.0,756,6.9,123437,babe little pig quite know place world bunch odd friend like ferdinand duck think rooster fly dog call mom babe realizes making become greatest sheep pig time farmer hogget know help sheep dog babe learns pig anything want little pig go long way sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig  ChrisNoonan ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving  children drama,0.9571,-0.49545232407668044
36,Dead Man Walking (1995),Crime|Drama,1995,687,tt0112818,7.3,350,7.5,93660,justice drama based true story man death row last day form strong relationship nun teach forgiveness give spirituality accompanies execution susan sarandon oscar best female actress convincing portrayal sister helen prejean prison rape socially deprived family penalty death penalty despair death row begnadigung therapist selfdiscovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage hate unsociability right justice court electric chair cowardliness  TimRobbins SusanSarandon SeanPenn RobertProsky RaymondJ.Barry  crime drama,-0.9786,1.0958221345634462
38,It Takes Two (1995),Children|Comedy,1995,33689,tt0113442,6.1,149,5.9,22363,identical 9yearolds different background orphaned amanda wealthy alyssa meet summer camp decide switch place play matchmaker alyssas dad roger kind social worker care amanda two identical stranger two different world one perfect match orphan identical twin  AndyTennant KirstieAlley SteveGuttenberg AshleyOlsen Mary-KateOlsen  children comedy,0.9493,-0.3626061620808209
39,Clueless (1995),Comedy|Romance,1995,9603,tt0112697,6.9,828,6.9,206815,shallow rich socially successful cher top beverly hill high school pecking scale seeing matchmaker cher first coax two teacher dating emboldened success decides give hopelessly klutzy new student tai makeover tai becomes popular cher realizes disapproving exstepbrother right misguided fall sex clothes popularity problem puberty high school make match spoiled child gay interest conflict woman director  AmyHeckerling AliciaSilverstone StaceyDash BrittanyMurphy PaulRudd  comedy romance,0.9623,0.6136520174144032
40,"Cry, the Beloved Country (1995)",Drama,1995,34615,tt0112749,6.7,13,6.8,1837,southafrican preacher go search wayward son committed crime big city south africa  DarrellJamesRoodt JamesEarlJones CharlesS.Dutton JackRobinson  drama,-0.34,0.24011473753470974
41,Richard III (1995),Drama|War,1995,31174,tt0114279,6.9,50,7.3,14595,shakespeare play transplanted 1930s setting smile murder smile england shakespeare kidnapping murder king  RichardLoncraine IanMcKellen AnnetteBening JimBroadbent KristinScottThomas  drama war,-0.836,0.5487267947954511
